gene,locus_tag,cds_seq,cds_len_nt,protein_id
afuB,b0263,,,
agaA,b3135,,,
agaW,b3134,,,
bcsQ,b3534,,,
crl,b0240,,,
cybC,b4236,,,
gatC,b2092,,,
glpR,b3423,,,
glvG,b3681,,,
intB,b4271,,,
intQ,b1579,,,
mdtQ,b2138,,,
nmpC,b0553,,,
renD,b0542,,,
rzpR,b1362,,,
stfE,b1157,,,
tfaS,b2353,,,
yafU,b0218,,,
yaiF,b0362,,,
yaiT,b0371,,,
yaiU,b0374,,,
yaiX,b0359,,,
ybbD,b0500,,,
ybcC,b0539,,,
ybcY,b0562,,,
ybfK,b4590,,,
ybfL,b0705,,,
ycgI,b1173,,,
ycjV,b1318,,,
yddJ,b1470,,,
ydeK,b1510,,,
ydeU,b1509,,,
ydfE,b1577,,,
yedM,b1935,,,
yeeP,b1999,,,
yejO,b2190,,,
yfaH,b2238,,,
yfcT,b2337,,,
yfcU,b2338,,,
yfdL,b2355,,,
ygaX,b2680,,,
ygaY,b2681,,,
ygeF,b2850,,,
ygeK,b2855,,,
ygeL,b2856,,,
ygeM,b2857,,,
ygeO,b2859,,,
ygeP,b2862,,,
ygiA,b3036,,,
yhdW,b3268,,,
yhiL,b3490,,,
yibJ,b3595,,,
yifO,b3776,,,
yjbI,b4038,,,
yjgW,b4274,,,
yjhD,b4281,,,
yjhR,b4308,,,
yjhV,b4286,,,
yjiP,b4338,,,
yjiQ,b4339,,,
ykgA,b0300,,,
ykgN,b4505,,,
ykiA,b0392,,,
ylbH,b0499,,,
ymfP,b1152,,,
ymgH,b4521,,,
ymjB,b4524,,,
yncI,b1458,,,
yncM,b1459,,,
yneL,b1506,,,
yoeA,b1995,,,
yoeE,b1998,,,
yohH,b2139,,,
yqfE,b2915,,,
yqiG,b3046,,,
ytfA,b4205,,,
yzfA,b4223,,,
gadA.gadB,,,,
ldrA.ldrC,,,,
pinR.pinQ,,,,
rzoD.rzoR,,,,
tfaR.tfaQ,,,,
tufA.tufB,,,,
ybfD.yhhI,,,,
ynaE.ydfK,,,,
